sex,age,"weeklystudytime(numeric: 1 - <5 hours, 2 - 5 to 10 hours, 3 - 10 to 20 hours, or 4 - >20 hours)",failures,activities,absences,G1,G2,G3
F,15,2,2,no,2,8,6,5
M,16,1,0,yes,2,12,12,14
F,16,2,0,yes,54,11,12,11
M,15,2,0,yes,6,9,9,10
M,15,4,0,yes,8,11,11,10
F,16,4,0,no,0,11,11,11
M,17,1,3,yes,2,8,8,10
F,16,2,0,no,12,5,5,5
M,15,1,0,yes,2,10,12,12
M,15,3,0,no,4,11,10,11
F,15,2,0,no,10,7,6,6
M,15,2,0,yes,4,15,15,15
F,15,2,0,yes,2,9,10,10
F,15,2,2,no,6,7,9,8
F,16,2,0,no,4,8,7,6
F,15,3,0,yes,4,13,14,14
M,16,2,1,yes,12,11,10,10
M,16,2,0,no,18,8,6,7
F,16,3,0,no,0,7,7,8
F,15,1,0,yes,4,16,17,18
F,16,2,0,no,4,7,6,6
F,16,2,0,yes,0,11,10,10
M,15,4,0,yes,6,11,13,14
F,15,4,1,yes,2,7,10,10
M,16,1,0,yes,2,11,15,15
F,16,2,0,no,2,8,9,10
F,16,1,0,yes,6,11,14,14
F,16,3,0,no,0,7,9,8
M,16,1,0,yes,14,7,7,5
M,16,3,0,yes,0,16,17,17
M,15,1,0,yes,4,10,13,14
F,15,2,0,no,26,7,6,6
M,15,2,0,yes,0,16,18,18
F,15,4,0,no,10,10,11,11
F,15,4,0,no,8,7,8,8
M,16,3,0,yes,2,16,18,18
M,15,4,0,yes,6,10,13,13
F,16,3,0,yes,4,14,15,16
M,15,1,0,yes,6,18,19,19
F,16,3,1,yes,0,7,10,10
F,16,2,1,yes,6,10,13,13
M,15,1,0,no,10,18,19,19
M,15,2,0,yes,8,9,9,9
M,16,2,0,yes,2,15,15,16
M,15,2,0,yes,2,11,13,14
M,16,1,0,yes,0,13,14,13
M,17,2,1,yes,20,9,7,8
M,15,1,0,no,6,14,13,13
F,15,2,0,no,2,16,15,15
M,15,4,0,yes,6,16,14,15
F,16,2,0,yes,2,13,13,13
M,16,1,0,yes,18,14,11,13
F,16,2,0,no,0,8,7,8
M,15,1,0,no,0,13,13,12
F,15,2,0,yes,0,7,10,11
F,19,2,3,no,2,7,8,9
M,18,1,2,yes,0,7,4,0
M,16,1,0,yes,8,18,18,18
F,15,3,2,no,0,12,0,0
F,15,1,0,yes,0,8,0,0
F,17,1,0,no,12,10,13,12
F,16,1,0,no,16,12,11,11
M,15,2,0,no,0,9,0,0
F,15,3,0,yes,0,11,0,0
M,17,2,0,no,0,10,0,0
F,16,1,2,yes,0,4,0,0
M,16,2,1,no,0,14,12,12
F,15,1,0,yes,0,16,16,15
M,15,4,0,no,0,7,9,0
M,16,1,2,yes,8,9,9,9
F,15,3,0,yes,2,9,11,11
F,16,1,0,no,2,14,14,13
M,17,1,3,no,0,5,0,0
F,15,2,0,no,0,8,11,11
F,15,2,3,no,0,6,7,0
F,15,2,0,no,2,10,11,11
M,16,1,0,no,0,7,6,0
M,15,1,3,no,0,8,9,10
M,18,1,3,no,0,6,5,0
M,16,1,1,yes,6,12,13,14
F,15,3,2,yes,8,10,10,10
M,19,1,3,no,0,5,0,0
F,17,1,0,no,0,11,11,12
M,15,2,0,yes,2,11,8,8
M,17,1,0,no,8,16,12,13
F,18,1,3,yes,6,9,8,10
M,16,1,0,no,2,17,15,15
M,16,2,1,no,4,10,12,12
M,17,1,2,yes,0,7,6,0
M,15,2,2,no,6,5,9,7
M,16,1,1,yes,0,7,0,0
M,17,1,0,no,2,10,10,10
M,17,2,3,yes,0,5,8,7
M,16,1,1,yes,16,12,11,12
M,16,2,0,no,4,10,10,10
F,16,2,0,no,0,14,15,16
F,16,2,0,no,0,6,7,0
F,16,2,0,no,0,14,14,14
M,16,1,2,yes,0,6,5,0
M,16,2,0,yes,2,13,15,16
M,17,2,0,yes,0,13,11,10
F,16,2,3,yes,0,8,7,0
F,16,2,0,yes,4,10,11,9
M,17,2,0,yes,4,10,9,9
F,16,2,0,yes,2,13,13,11
M,17,2,0,yes,4,6,5,6
M,16,1,0,yes,10,10,8,9
M,17,2,0,yes,4,10,10,11
M,16,2,0,yes,10,9,8,8
M,16,2,0,yes,2,12,13,12
F,17,2,0,yes,0,16,17,17
F,17,2,0,yes,56,9,9,8
F,16,2,0,no,14,12,13,12
M,17,2,0,yes,12,12,12,11
M,16,1,0,yes,2,11,12,11
M,16,2,0,yes,0,15,15,15
F,17,2,0,no,6,8,7,9
M,17,2,0,no,4,8,9,10
F,16,2,0,no,10,11,12,13
F,17,2,0,yes,0,8,8,9
M,17,2,0,yes,12,7,8,8
M,16,1,0,yes,8,8,9,10
M,16,1,0,no,0,13,14,14
F,17,2,0,yes,0,14,15,15
M,17,1,0,no,4,17,15,16
M,16,1,0,yes,8,9,9,10
F,17,1,1,no,24,18,18,18
F,16,2,0,no,0,9,9,10
F,16,2,0,yes,2,16,16,16
F,16,2,0,yes,6,8,10,10
F,17,2,0,no,4,9,9,10
F,17,1,0,no,18,7,6,6
F,16,4,0,yes,6,10,10,11
F,17,3,1,no,28,10,9,9
F,16,2,3,no,5,7,7,7
F,16,2,0,yes,10,11,12,13
F,16,1,0,no,6,9,9,10
F,17,3,0,yes,6,7,7,7
F,19,4,0,yes,10,8,8,8
M,17,2,0,no,13,12,12,13
F,16,2,0,no,0,12,13,14
M,18,2,1,yes,15,6,7,8
F,17,1,0,no,12,8,10,10
F,17,2,0,no,2,14,15,15
F,17,2,2,no,22,6,6,4
M,18,2,1,no,13,6,6,8
F,17,1,0,no,3,7,7,8
F,17,3,0,yes,4,9,10,10
F,17,2,0,yes,2,6,6,6
F,17,3,1,yes,0,6,5,0
F,16,2,0,no,2,16,16,17
M,18,2,0,no,0,12,13,13
F,16,3,0,yes,0,13,13,14
F,18,2,1,yes,16,9,8,7
F,17,2,0,yes,10,16,15,15
M,17,2,0,no,2,12,11,12
M,18,2,0,yes,14,10,8,9
F,17,3,0,yes,10,12,10,12
F,17,2,0,yes,14,13,13,14
M,17,2,0,yes,4,11,11,11
M,17,2,0,yes,14,11,9,9
M,16,2,0,yes,2,14,13,13
M,16,2,0,no,18,9,7,6
M,16,3,0,yes,10,11,9,10
M,17,2,0,yes,4,14,13,13
F,16,1,0,no,20,13,12,12
F,17,2,0,yes,2,13,11,11
M,18,2,1,no,0,7,7,0
M,17,2,0,yes,14,12,12,12
M,17,2,0,no,2,10,11,12
M,16,1,0,yes,0,6,0,0
M,16,1,0,yes,0,13,12,12
F,18,3,0,no,0,7,0,0
M,16,1,0,no,6,18,18,18
M,17,1,0,no,4,12,12,13
M,22,1,3,no,16,6,8,8
M,18,2,1,no,8,3,5,5
M,16,1,0,no,0,13,15,15
M,18,1,1,no,0,6,8,8
M,16,2,0,no,6,7,10,10
M,18,1,1,no,4,6,9,8
M,16,1,0,yes,0,8,9,8
M,17,1,0,no,0,8,12,12
M,17,1,1,yes,2,7,9,8
F,17,4,0,yes,6,14,12,13
M,19,2,0,no,12,11,11,11
M,18,2,0,yes,8,15,14,14
F,17,4,0,yes,0,10,9,0
F,18,2,0,no,21,17,18,18
M,18,2,0,no,2,8,8,8
M,18,3,0,yes,1,13,12,12
F,17,3,0,yes,4,10,9,9
F,18,3,0,yes,0,9,10,0
M,18,2,0,yes,13,17,17,17
M,17,2,0,yes,2,9,9,10
F,18,2,0,yes,8,12,10,11
M,18,2,0,yes,10,10,9,10
F,18,2,0,no,0,6,0,0
F,19,2,2,yes,15,9,9,9
F,18,4,0,yes,4,15,14,14
F,18,2,0,no,2,11,11,11
M,17,2,0,yes,2,15,14,14
F,17,2,0,no,2,10,10,10
F,17,2,0,no,6,12,12,12
F,18,2,0,no,75,10,9,9
M,18,1,0,yes,22,9,9,9
F,18,2,1,yes,15,9,8,8
M,18,1,0,yes,8,10,11,10
M,17,1,0,yes,30,8,8,8
M,17,1,1,no,19,11,9,10
F,18,4,0,yes,1,12,12,12
F,18,2,0,yes,4,8,9,10
F,17,2,0,no,4,10,9,11
M,17,2,0,no,2,12,10,11
F,18,3,0,no,5,18,18,19
F,17,3,0,no,6,13,12,12
M,18,3,0,yes,6,15,14,14
M,18,2,0,yes,9,15,13,15
M,18,2,0,yes,11,12,11,11
F,17,3,0,no,0,15,15,15
F,18,2,1,no,12,12,12,13
F,17,4,0,no,6,18,18,18
M,18,3,0,yes,8,14,13,14
M,17,1,0,no,4,14,12,11
F,19,2,0,yes,0,10,9,0
F,18,2,0,no,10,10,8,8
F,18,4,0,no,0,14,13,14
M,18,1,0,no,5,16,15,16
F,18,2,0,no,14,12,10,11
M,17,1,0,no,0,11,11,10
F,17,3,0,no,0,15,12,14
F,17,4,0,yes,0,17,17,18
M,19,2,1,yes,20,15,14,13
F,18,2,1,yes,8,14,12,12
M,20,1,0,yes,0,17,18,18
M,19,1,1,no,38,8,9,8
M,19,2,1,yes,0,15,12,12
F,19,2,1,yes,18,12,10,10
F,19,2,1,yes,0,9,9,0
F,19,2,0,no,20,14,12,13
M,19,2,1,no,3,13,11,11
F,19,2,1,no,22,13,10,11
F,19,3,2,no,14,15,13,13
F,19,3,1,no,40,13,11,11
F,18,2,0,yes,0,8,8,0
F,18,3,0,yes,9,9,10,9
F,17,3,0,yes,0,11,11,10
F,18,2,0,no,2,11,11,11
F,17,2,0,no,23,13,13,13
F,17,2,0,no,12,11,9,9
F,17,3,0,yes,3,11,11,11
F,17,3,0,no,1,12,14,15
F,17,3,0,no,0,16,15,15
M,18,3,0,yes,3,9,12,11
M,17,1,0,yes,3,14,15,16
M,17,1,0,no,8,11,10,10
F,17,3,0,yes,7,10,9,9
F,17,3,0,no,4,14,14,14
M,18,4,0,yes,2,9,8,8
F,17,3,0,no,7,12,14,14
F,18,2,0,yes,0,7,0,0
F,18,2,0,yes,0,8,8,0
F,18,4,0,yes,0,10,9,0
F,17,3,0,no,16,16,15,15
F,19,3,1,no,12,14,13,13
F,17,2,0,no,0,7,8,0
F,18,4,0,no,7,16,15,17
F,17,2,0,no,4,9,10,10
F,19,3,1,yes,4,11,12,11
M,18,2,1,yes,0,10,10,0
M,18,2,0,yes,11,16,15,15
F,17,2,1,no,0,9,8,0
F,18,3,0,no,4,11,10,10
F,18,3,0,no,7,13,13,14
M,18,3,0,no,9,16,15,16
M,18,3,0,no,0,10,10,9
F,17,3,0,yes,0,13,15,15
M,18,1,1,no,10,11,13,13
M,19,2,3,no,8,8,7,8
M,17,2,0,no,2,13,13,13
M,18,1,1,no,7,8,7,8
M,19,1,1,no,4,8,8,8
M,17,2,0,yes,4,13,11,11
F,18,2,0,no,0,10,9,9
F,17,2,0,yes,4,12,13,13
F,17,2,0,no,2,12,12,11
M,18,1,0,no,4,10,10,10
F,18,3,0,no,0,18,16,16
F,18,2,0,no,0,13,13,13
M,18,2,1,yes,2,13,12,12
F,18,2,0,no,0,11,11,10
F,17,2,0,yes,0,16,15,15
F,17,2,0,no,0,12,11,12
M,18,2,0,no,4,10,10,10
M,18,3,0,no,0,13,13,13
F,17,1,1,no,0,7,6,0
F,18,1,0,no,0,11,10,10
F,18,2,0,no,10,14,12,11
F,19,2,2,yes,4,7,7,9
M,18,1,0,yes,3,14,12,12
F,17,3,0,yes,8,13,11,11
F,17,1,0,yes,14,6,5,5
F,18,3,0,no,0,19,18,19
F,18,3,0,no,2,8,8,10
F,20,3,2,no,4,15,14,15
F,18,2,0,yes,4,8,9,10
F,18,2,0,no,0,15,15,15
F,17,2,0,yes,17,10,10,10
M,18,2,0,yes,4,15,14,14
M,18,1,0,yes,5,7,6,7
M,17,2,0,yes,2,11,11,10
M,19,1,1,no,0,6,5,0
M,18,1,1,no,14,6,5,5
F,18,3,0,no,2,10,9,10
F,18,1,0,yes,7,6,5,6
F,19,3,1,yes,0,7,5,0
F,18,2,0,no,0,7,9,8
F,18,2,1,yes,0,6,5,0
M,20,2,2,no,11,9,9,9
M,17,1,0,no,3,14,16,16
M,21,1,3,no,3,10,8,7
M,18,1,0,no,0,11,12,10
M,19,1,0,no,5,8,9,9
F,18,2,0,no,6,5,6,6
M,19,1,1,no,0,6,5,0
